OpportunityID,Industry,CompanySize,AnnualRevenue,DataVolume,DataMaturityLevel,CloudAdoption,ComplianceRequirements,PreviousDataGovernanceTools,DataBreachHistory,RegulatoryPressure
1,Technology,SMB (50-500),3712,36,Intermediate,AWS,Multiple,True,False,8
2,Telecommunications,Mid-Market (500-5000),4449,20,Advanced,On-Premise,SOX,False,True,3
3,Government,Enterprise (5000+),4735,26,Intermediate,AWS,Multiple,False,True,7
4,Technology,Enterprise (5000+),1955,48,Basic,GCP,GDPR,False,False,7
5,Government,Enterprise (5000+),3750,73,Basic,AWS,GDPR,True,False,9
6,Technology,Enterprise (5000+),2816,48,Intermediate,GCP,CCPA,False,False,10
7,Education,SMB (50-500),1159,46,Advanced,GCP,CCPA,True,True,9
8,Manufacturing,Mid-Market (500-5000),1830,25,Advanced,On-Premise,GDPR,False,False,3
9,Manufacturing,SMB (50-500),2695,24,Advanced,GCP,SOX,True,False,7
10,Technology,Enterprise (5000+),1417,52,Advanced,Azure,CCPA,False,False,2
11,Retail,Enterprise (5000+),880,72,Advanced,Multi-Cloud,HIPAA,False,True,8
12,Manufacturing,Mid-Market (500-5000),4586,42,Basic,On-Premise,HIPAA,False,False,5
13,Retail,SMB (50-500),1600,40,Advanced,On-Premise,GDPR,True,True,8
14,Telecommunications,SMB (50-500),394,26,Advanced,GCP,Multiple,True,False,1
15,Healthcare,Mid-Market (500-5000),1731,51,Intermediate,AWS,HIPAA,False,False,2
16,Government,Mid-Market (500-5000),1667,14,Basic,Azure,HIPAA,True,False,8
17,Healthcare,SMB (50-500),3501,58,Intermediate,AWS,GDPR,False,True,2
18,Manufacturing,SMB (50-500),298,100,Intermediate,Azure,SOX,False,True,10
19,Telecommunications,Enterprise (5000+),502,78,Advanced,Azure,SOX,True,False,6
20,Technology,SMB (50-500),4222,68,Advanced,GCP,SOX,True,True,6
21,Education,Mid-Market (500-5000),488,42,Advanced,On-Premise,SOX,False,False,5
22,Manufacturing,SMB (50-500),1142,64,Advanced,GCP,Multiple,False,False,9
