OpportunityID,MeetingDate,MeetingType,Duration,AttendeesCount,DecisionMakerPresent,TechnicalPersonPresent,ProcurementPresent,MeetingRating,FollowUpScheduled,ActionItemsAssigned
1,2025-02-04,Technical Deep Dive,111,8,False,False,True,1,True,3
1,2024-12-14,Final Approval,82,2,False,True,True,2,False,1
2,2024-11-28,Product Demo,73,2,False,True,True,8,False,5
2,2024-10-09,Negotiation,47,5,True,True,False,10,False,4
2,2024-11-27,Product Demo,118,6,True,True,True,7,False,4
2,2024-08-18,Stakeholder Meeting,107,7,True,False,False,6,False,3
2,2024-06-15,Product Demo,82,6,False,False,True,4,True,4
3,2024-12-25,Final Approval,74,7,True,True,False,2,False,4
3,2025-02-11,Negotiation,103,7,False,False,False,1,True,0
3,2025-01-17,Product Demo,36,7,True,True,False,3,False,5
3,2024-12-15,Product Demo,37,7,False,True,True,6,False,0
3,2025-03-18,Final Approval,101,8,True,False,True,9,False,5
3,2025-03-31,Discovery Call,78,5,False,False,True,1,False,1
3,2025-03-19,Stakeholder Meeting,58,7,False,True,True,5,False,1
4,2024-09-01,Product Demo,52,7,True,False,True,7,False,4
4,2024-10-19,Product Demo,50,6,False,True,False,8,True,0
4,2024-09-21,Technical Deep Dive,106,2,False,False,False,2,False,4
4,2024-10-08,Product Demo,96,2,True,False,False,2,False,1
4,2024-10-06,Final Approval,72,4,False,False,True,10,False,4
4,2025-02-21,Final Approval,31,2,False,False,True,10,True,0
4,2025-02-03,Technical Deep Dive,78,8,True,False,False,9,False,0
5,2024-12-06,Technical Deep Dive,95,8,False,False,True,5,True,2
5,2024-10-01,Discovery Call,42,3,True,True,True,4,False,0
5,2024-07-14,Negotiation,119,7,False,True,True,1,False,5
5,2024-08-15,Discovery Call,41,2,True,True,False,9,True,4
5,2024-07-20,Technical Deep Dive,82,5,False,False,False,6,True,3
5,2024-11-11,Discovery Call,98,2,True,True,True,6,True,2
6,2025-01-26,Technical Deep Dive,107,2,False,False,False,7,True,3
6,2024-09-13,Negotiation,58,3,False,False,True,5,False,0
6,2024-12-23,Negotiation,48,2,True,True,False,9,True,2
6,2024-09-26,Final Approval,74,3,False,True,True,3,True,4
6,2024-10-07,Product Demo,44,3,True,False,True,5,True,2
6,2024-08-29,Product Demo,104,5,False,False,True,4,True,2
6,2025-01-09,Discovery Call,54,4,False,False,False,10,False,5
6,2024-12-31,Product Demo,102,6,False,False,False,3,True,2
7,2024-11-30,Final Approval,112,5,False,False,True,6,False,3
7,2025-01-27,Technical Deep Dive,69,5,True,True,True,5,True,4
7,2024-11-24,Technical Deep Dive,110,2,True,True,True,10,False,4
8,2024-11-03,Negotiation,63,6,False,True,False,7,True,4
8,2025-04-30,Technical Deep Dive,47,5,True,False,False,9,True,5
8,2024-12-25,Negotiation,117,3,True,False,True,3,True,5
9,2024-09-15,Technical Deep Dive,35,3,False,True,True,5,False,1
9,2024-05-25,Final Approval,56,6,False,False,False,8,True,0
9,2024-10-28,Technical Deep Dive,43,7,False,False,True,7,False,2
9,2024-10-12,Final Approval,39,6,False,False,True,9,False,2
9,2024-08-11,Stakeholder Meeting,91,6,True,True,False,3,True,0
9,2024-09-23,Final Approval,65,3,True,True,True,6,True,5
9,2024-07-12,Stakeholder Meeting,72,7,True,False,False,8,True,4
10,2025-03-31,Stakeholder Meeting,32,3,True,True,True,3,True,4
10,2024-11-23,Discovery Call,51,4,True,False,True,5,True,1
10,2025-02-08,Negotiation,90,8,False,True,True,7,True,4
11,2025-07-04,Product Demo,109,7,False,True,False,8,True,1
11,2025-03-26,Stakeholder Meeting,46,2,True,True,False,3,True,1
11,2025-04-20,Negotiation,106,2,True,True,False,3,True,5
11,2025-06-04,Stakeholder Meeting,96,5,False,True,False,4,False,3
11,2025-03-19,Negotiation,119,6,True,False,True,5,False,1
11,2025-01-10,Technical Deep Dive,106,6,False,False,True,1,True,4
11,2025-05-02,Discovery Call,96,2,False,True,False,7,False,0
11,2025-01-28,Stakeholder Meeting,113,6,False,False,False,10,False,4
12,2025-01-26,Stakeholder Meeting,56,5,False,True,False,9,False,2
12,2024-10-22,Negotiation,74,8,False,True,True,4,False,5
12,2024-09-15,Discovery Call,57,6,False,False,True,3,False,5
12,2024-08-06,Discovery Call,48,5,False,True,True,5,True,2
13,2025-03-01,Discovery Call,79,5,False,True,True,8,False,0
13,2024-11-17,Final Approval,96,4,True,True,True,10,True,5
14,2025-03-05,Product Demo,113,2,True,True,False,7,False,5
