OpportunityID,CallDate,CallDuration,CallType,Sentiment,Outcome,PainPointDiscussed,CompetitorMentioned,DecisionMakersPresent,TechnicalQuestions,PricingDiscussed,NextStepsAgreed,BudgetQualified,TimelineDiscussed,ChampionIdentified
1,2024-11-15,50,Demo,Positive,Demo Scheduled,Operational Efficiency,Collibra,1,9,False,True,True,True,True
2,2024-09-18,18,Demo,Negative,Closed Won,Operational Efficiency,Microsoft Purview,4,3,False,False,True,True,False
2,2024-08-07,50,Demo,Positive,Closed Lost,Risk Management,Collibra,1,6,True,False,False,False,True
3,2025-02-26,30,Follow-up,Positive,Follow-up Needed,Risk Management,None,3,9,True,True,True,True,False
3,2024-11-01,44,Discovery,Neutral,Proposal Requested,Security Audit,None,3,2,False,False,True,False,True
3,2025-03-16,36,Demo,Positive,Objection Handled,Security Audit,OneTrust,2,10,False,True,True,True,False
3,2025-01-22,49,Discovery,Positive,Follow-up Needed,Operational Efficiency,OneTrust,2,10,False,False,,False,True
4,2024-09-17,46,Negotiation,Negative,Follow-up Needed,Security Audit,Microsoft Purview,4,5,True,True,,False,True
4,2024-08-25,29,Demo,Negative,Demo Scheduled,Operational Efficiency,Varonis,1,6,False,False,,False,True
4,2025-02-03,29,Negotiation,Negative,Proposal Requested,Data Privacy Compliance,OneTrust,4,2,False,True,,False,True
5,2024-06-19,53,Demo,Positive,Proposal Requested,Data Discovery,Microsoft Purview,1,9,False,False,True,True,False
5,2024-08-09,45,Discovery,Positive,Follow-up Needed,Data Privacy Compliance,Collibra,4,1,True,True,,False,True
5,2024-07-29,82,Follow-up,Positive,Follow-up Needed,Operational Efficiency,None,2,4,False,False,False,False,True
5,2024-07-25,43,Discovery,Neutral,Discovery,Cost Optimization,Microsoft Purview,2,9,True,True,True,True,True
5,2024-06-09,19,Negotiation,Positive,Follow-up Needed,Data Discovery,OneTrust,4,3,True,False,True,False,False
6,2024-08-28,27,Follow-up,Neutral,Objection Handled,Security Audit,Varonis,1,10,True,True,False,False,True
6,2024-10-06,39,Demo,Negative,Objection Handled,Data Discovery,Varonis,2,4,False,True,True,False,True
7,2025-03-20,84,Discovery,Positive,Closed Lost,Data Discovery,Informatica,4,7,False,True,False,True,True
8,2024-10-25,64,Negotiation,Neutral,Proposal Requested,Security Audit,None,4,2,True,False,True,True,True
8,2025-01-13,22,Discovery,Negative,Objection Handled,Cost Optimization,Microsoft Purview,2,0,True,True,True,True,True
8,2025-02-05,30,Demo,Negative,Follow-up Needed,Data Privacy Compliance,Microsoft Purview,1,6,False,False,True,False,True
8,2024-12-31,65,Demo,Negative,Closed Won,Risk Management,Varonis,3,1,True,False,,True,True
9,2024-07-08,79,Negotiation,Positive,Proposal Requested,Data Privacy Compliance,Informatica,3,4,True,False,,False,True
9,2024-11-01,85,Negotiation,Negative,Discovery,Data Discovery,OneTrust,1,1,True,False,False,True,False
9,2024-07-06,48,Follow-up,Neutral,Closed Lost,Data Privacy Compliance,Collibra,4,4,True,True,False,True,False
9,2024-06-25,71,Follow-up,Negative,Discovery,Data Privacy Compliance,Collibra,2,8,True,False,,True,False
9,2024-06-16,20,Negotiation,Neutral,Closed Lost,Data Privacy Compliance,OneTrust,2,10,True,True,False,False,True
10,2024-11-27,37,Follow-up,Positive,Demo Scheduled,Operational Efficiency,OneTrust,4,10,True,False,True,True,False
10,2024-10-26,75,Demo,Positive,Closed Lost,Security Audit,OneTrust,3,3,True,True,,True,False
11,2025-03-01,23,Negotiation,Neutral,Closed Won,Cost Optimization,Varonis,3,0,True,False,True,False,True
11,2025-01-16,70,Negotiation,Negative,Closed Lost,Risk Management,Varonis,1,6,True,False,True,False,True
11,2025-05-02,83,Demo,Neutral,Objection Handled,Data Privacy Compliance,None,3,9,False,True,,False,False
12,2024-10-27,66,Negotiation,Negative,Demo Scheduled,Data Discovery,Varonis,4,10,True,False,False,True,False
12,2024-10-17,41,Follow-up,Negative,Follow-up Needed,Operational Efficiency,OneTrust,4,7,False,True,,False,True
12,2025-01-20,25,Negotiation,Negative,Closed Won,Operational Efficiency,Microsoft Purview,3,1,True,False,True,True,True
12,2024-08-11,20,Demo,Neutral,Follow-up Needed,Data Privacy Compliance,Varonis,4,10,True,False,False,False,True
13,2025-03-13,15,Discovery,Neutral,Demo Scheduled,Data Discovery,None,4,0,True,True,False,True,False
13,2025-03-16,82,Negotiation,Neutral,Follow-up Needed,Operational Efficiency,Microsoft Purview,4,8,False,True,,False,False
14,2025-02-04,50,Follow-up,Negative,Demo Scheduled,Risk Management,Varonis,1,4,True,False,False,False,True
14,2025-01-07,34,Demo,Neutral,Closed Won,Data Discovery,None,2,1,False,False,False,False,False
14,2024-12-18,41,Follow-up,Neutral,Closed Lost,Cost Optimization,None,1,9,False,False,True,False,False
15,2024-08-27,83,Demo,Neutral,Demo Scheduled,Risk Management,Varonis,4,0,False,False,,False,True
15,2024-09-08,31,Discovery,Neutral,Follow-up Needed,Cost Optimization,None,1,1,False,True,False,True,True
15,2024-07-17,63,Negotiation,Positive,Objection Handled,Risk Management,OneTrust,4,4,False,False,True,False,True
15,2024-09-27,21,Negotiation,Positive,Closed Won,Data Privacy Compliance,None,1,0,True,True,True,True,True
16,2025-06-03,29,Demo,Neutral,Closed Won,Risk Management,OneTrust,2,9,True,True,False,True,True
16,2025-04-22,88,Follow-up,Neutral,Closed Won,Data Discovery,Collibra,2,1,False,True,,True,False
17,2024-10-18,62,Discovery,Negative,Closed Won,Risk Management,Collibra,4,7,True,False,False,False,True
17,2024-10-20,37,Negotiation,Negative,Closed Lost,Cost Optimization,Varonis,4,6,False,False,True,True,False
17,2024-10-24,46,Follow-up,Negative,Follow-up Needed,Operational Efficiency,Varonis,3,0,False,False,True,False,True
17,2024-09-29,48,Negotiation,Neutral,Follow-up Needed,Operational Efficiency,OneTrust,1,8,True,True,True,False,False
17,2024-11-20,45,Follow-up,Negative,Closed Won,Security Audit,Varonis,1,1,False,True,False,True,False
