OpportunityID,EmailDate,EmailType,Response,ResponseTime,Opened,Clicked,Replied
1,2025-04-21,Documentation,Opened,,False,True,True
1,2025-04-26,Contract,Clicked,150.0,True,True,True
1,2025-01-14,Pricing,Clicked,,True,True,False
1,2025-05-02,Pricing,No Response,109.0,True,False,False
1,2025-02-21,Proposal,Opened,,False,False,True
1,2025-05-12,Follow-up,Opened,,False,False,False
1,2024-11-10,Documentation,Clicked,,True,True,True
1,2025-05-04,Documentation,Opened,50.0,True,False,False
1,2024-11-25,Contract,Opened,122.0,False,True,False
1,2025-01-12,Follow-up,Opened,,True,False,True
1,2025-02-02,Pricing,Clicked,153.0,False,True,False
2,2024-06-02,Outreach,Opened,,False,True,True
2,2024-05-27,Documentation,Opened,,False,True,True
2,2024-11-01,Outreach,Opened,,False,False,True
2,2024-10-17,Documentation,Clicked,116.0,False,False,False
2,2024-10-17,Pricing,Opened,,True,False,False
2,2024-10-09,Follow-up,Opened,3.0,True,True,True
2,2024-10-22,Pricing,Replied,,False,False,False
2,2024-06-28,Follow-up,Clicked,15.0,True,False,False
3,2024-12-30,Pricing,Clicked,120.0,False,False,False
3,2025-01-14,Outreach,Clicked,60.0,True,False,False
3,2024-12-01,Follow-up,Clicked,87.0,True,False,False
3,2025-03-14,Contract,Replied,,False,False,False
3,2024-11-22,Outreach,No Response,126.0,True,True,True
3,2025-04-07,Follow-up,No Response,61.0,False,False,False
3,2024-12-03,Documentation,Clicked,92.0,True,True,False
3,2024-10-19,Pricing,Opened,74.0,False,True,False
3,2024-10-23,Outreach,Clicked,72.0,True,True,False
3,2025-04-14,Follow-up,Replied,45.0,True,True,True
3,2024-12-18,Outreach,Opened,97.0,True,False,True
3,2024-12-29,Documentation,Clicked,,False,True,False
3,2025-04-12,Outreach,Opened,33.0,True,True,False
3,2025-04-07,Proposal,Replied,,True,True,True
3,2025-02-26,Proposal,Clicked,,True,True,False
3,2024-11-13,Pricing,No Response,20.0,False,True,True
4,2025-01-25,Pricing,Replied,,False,True,False
4,2025-02-11,Proposal,No Response,,False,False,False
4,2025-01-23,Pricing,Opened,56.0,True,False,True
4,2024-11-22,Follow-up,Replied,,False,True,False
4,2024-10-17,Pricing,Opened,21.0,False,False,False
4,2024-10-10,Pricing,Opened,,False,False,False
4,2024-12-10,Documentation,No Response,,False,False,False
4,2024-11-18,Outreach,Clicked,,True,False,True
4,2024-11-12,Outreach,Replied,70.0,True,True,True
4,2024-08-31,Proposal,Opened,85.0,True,False,False
4,2024-10-29,Contract,Replied,154.0,True,False,True
4,2024-10-28,Proposal,Replied,,False,True,False
4,2025-01-27,Pricing,Clicked,,True,True,True
4,2024-12-12,Follow-up,No Response,,False,True,False
4,2024-09-30,Documentation,No Response,112.0,False,True,False
4,2024-09-17,Pricing,Clicked,,True,False,False
4,2024-11-07,Follow-up,No Response,,False,False,False
5,2024-10-15,Outreach,Clicked,84.0,False,False,True
5,2024-08-31,Outreach,No Response,121.0,True,False,False
5,2024-11-02,Proposal,Opened,26.0,True,True,False
5,2024-05-29,Follow-up,Clicked,98.0,False,True,True
5,2024-08-05,Contract,Opened,,True,False,True
6,2024-10-26,Documentation,No Response,28.0,True,False,False
6,2025-02-10,Outreach,No Response,33.0,True,False,False
6,2025-02-01,Contract,No Response,154.0,False,True,False
6,2024-10-13,Follow-up,Opened,114.0,True,False,True
6,2024-12-16,Proposal,No Response,,False,True,True
6,2024-10-16,Contract,No Response,,False,False,True
6,2024-11-18,Follow-up,Clicked,,False,False,True
6,2025-01-29,Pricing,Opened,,True,True,True
6,2024-10-13,Contract,Replied,55.0,False,False,True
6,2024-11-06,Outreach,Opened,,False,False,True
7,2024-11-27,Pricing,Opened,,True,True,False
7,2025-01-10,Proposal,No Response,101.0,True,True,False
7,2024-11-03,Contract,Clicked,,False,False,False
7,2024-10-22,Outreach,Clicked,,True,False,False
7,2024-11-15,Follow-up,Opened,45.0,False,True,False
7,2024-11-17,Outreach,Opened,,True,False,False
7,2024-11-19,Follow-up,Opened,113.0,True,True,False
7,2025-03-30,Proposal,No Response,153.0,True,True,False
7,2024-11-25,Follow-up,Replied,51.0,True,True,False
7,2024-10-12,Outreach,Replied,16.0,True,True,True
7,2025-04-08,Follow-up,Opened,,True,False,False
7,2025-02-25,Contract,Clicked,138.0,False,False,True
7,2024-12-03,Follow-up,Opened,,False,True,True
8,2025-04-10,Proposal,Opened,,True,False,True
8,2024-11-10,Contract,Replied,,True,True,True
